nm;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
423;0,184631;0,184631;0,180664;0,192566;0,206604;0,220642;0,225525;0,239563;0,252991;0,281677;0,365601;0,406799;0,43396;0,467224;0,476685;0,484314;0,0256348;0,500488;0,0827026
424;0,171204;0,158691;0,1828;0,184631;0,194397;0,203857;0,212708;0,224915;0,24353;0,270386;0,338135;0,394287;0,401001;0,439148;0,447388;0,454712;0,0234985;0,494385;0,0738525
425;0,160828;0,163574;0,163879;0,171814;0,192566;0,196228;0,207825;0,221863;0,241089;0,259399;0,332947;0,377197;0,397644;0,417786;0,446167;0,4422;0,0238037;0,464783;0,0775146
426;0,151062;0,159302;0,168457;0,177307;0,185852;0,185547;0,201111;0,201111;0,227966;0,238953;0,311279;0,37262;0,383911;0,421143;0,436401;0,420227;0,0253296;0,452271;0,0814819
427;0,154724;0,151367;0,161438;0,165405;0,176392;0,187073;0,184021;0,199585;0,218506;0,23468;0,294495;0,341797;0,377808;0,397034;0,413818;0,406799;0,0268555;0,42572;0,078125
428;0,142517;0,144348;0,158081;0,15625;0,170898;0,185547;0,1828;0,198364;0,215759;0,221558;0,288391;0,342712;0,356445;0,384827;0,392151;0,391846;0,0265503;0,412292;0,0708008
429;0,131226;0,142212;0,152893;0,144958;0,155945;0,168457;0,18219;0,188599;0,206299;0,225525;0,286865;0,331116;0,340881;0,355225;0,365906;0,372009;0,0265503;0,408325;0,0817871
430;0,132141;0,132446;0,141907;0,148926;0,160217;0,169373;0,169678;0,178833;0,202026;0,211792;0,266724;0,303955;0,337524;0,343018;0,360413;0,361328;0,0244141;0,386658;0,0762939
431;0,132141;0,1297;0,134277;0,146484;0,1474;0,157471;0,162048;0,168152;0,186157;0,202637;0,259705;0,287476;0,315857;0,332336;0,331116;0,344543;0,0228882;0,360718;0,0762939
432;0,12146;0,126038;0,123596;0,136414;0,14679;0,151672;0,160828;0,163269;0,18158;0,203552;0,241089;0,29541;0,298157;0,316772;0,332031;0,335693;0,0210571;0,34668;0,0689697
433;0,117798;0,117798;0,121155;0,126343;0,145874;0,144653;0,148621;0,158691;0,173035;0,194702;0,229797;0,275879;0,283508;0,314636;0,306702;0,326233;0,0238037;0,315857;0,0701904
434;0,108948;0,11322;0,123291;0,125427;0,131836;0,139465;0,141907;0,158997;0,169983;0,176392;0,227356;0,256653;0,278625;0,293274;0,309448;0,304565;0,020752;0,325623;0,0720215
435;0,103149;0,108948;0,113831;0,127258;0,126953;0,133057;0,139465;0,151062;0,167236;0,176392;0,214233;0,259399;0,272217;0,290527;0,294189;0,292664;0,0241089;0,302429;0,0683594
436;0,104675;0,102234;0,115967;0,114746;0,126343;0,131836;0,137329;0,14679;0,170593;0,16571;0,20874;0,24231;0,258484;0,273132;0,272217;0,287476;0,0213623;0,301514;0,0735474
437;0,0897217;0,0991821;0,108032;0,113831;0,124207;0,13031;0,133667;0,138245;0,163574;0,162964;0,205078;0,241699;0,245361;0,267029;0,274048;0,273132;0,0210571;0,282288;0,0698853
438;0,0997925;0,0949097;0,102234;0,107727;0,11261;0,123291;0,130615;0,131226;0,155945;0,147705;0,200195;0,228577;0,234985;0,248108;0,267029;0,258484;0,022583;0,276184;0,0747681
439;0,0912476;0,100708;0,102234;0,100403;0,116272;0,118713;0,12207;0,127563;0,144348;0,152588;0,179749;0,220032;0,228882;0,257874;0,240479;0,248718;0,0192261;0,244446;0,0714111
440;0,0866699;0,0894165;0,0973511;0,0994873;0,108337;0,114441;0,109253;0,121765;0,139465;0,143738;0,180359;0,209351;0,220947;0,224609;0,224609;0,239868;0,0222778;0,253906;0,0708008
441;0,085144;0,0808716;0,0872803;0,0994873;0,103149;0,115356;0,112;0,122375;0,13092;0,137939;0,178833;0,194092;0,205688;0,225525;0,229492;0,233459;0,0231934;0,232544;0,0732422
